slot,id,time,rate [ct./kWh],energy [kWh],seller,buyer
2018-08-14T15:15:00+02:00,3ae6e49c-190d-48b7-83f6-838befe05aae,2018-08-14T15:15:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T15:15:00+02:00,39375433-786d-428e-ab09-55c892ab1330,2018-08-14T15:15:00+02:00,30.3,0.0176,IAA House 3,IAA House 2
2018-08-14T15:15:00+02:00,ddbfbcbc-3511-442a-95ea-918a53c9b3b4,2018-08-14T15:15:00+02:00,30.3,0.0176,IAA House 5,IAA House 3
2018-08-14T15:15:00+02:00,bf8d6e1a-5bb4-47b1-b96a-8d5518b15f47,2018-08-14T15:15:15+02:00,30.3,0.007399999999999999,IAA House 4,IAA House 2
2018-08-14T15:15:00+02:00,6e160914-4662-4314-b28c-24c46d7374cd,2018-08-14T15:15:15+02:00,30.3,0.007399999999999999,IAA House 4,IAA House 3
2018-08-14T15:30:00+02:00,d52a0e18-5800-440b-a3f4-1066820f9003,2018-08-14T15:30:00+02:00,30.3,0.025,IAA House 4,IAA House 2
2018-08-14T15:30:00+02:00,c3d774a0-9b71-4a80-af37-45bfc824411f,2018-08-14T15:30:00+02:00,30.3,0.0152,IAA House 5,Cell Tower
2018-08-14T15:30:00+02:00,c6bf7654-730a-430a-b3a3-fa46d02748ba,2018-08-14T15:30:15+02:00,30.3,0.009800000000000001,IAA House 4,IAA House 3
2018-08-14T15:30:00+02:00,6310a593-56e5-40fa-aed1-aa51ff4a310e,2018-08-14T15:30:15+02:00,30.3,0.009800000000000001,IAA House 4,Cell Tower
2018-08-14T15:45:00+02:00,983abc3e-7e7f-44a0-b1f6-70b8d55f10fa,2018-08-14T15:45:00+02:00,30.3,0.0129,IAA House 5,IAA House 2
2018-08-14T15:45:00+02:00,e5b1d7b6-8878-4ba0-aee1-9581f54ff78f,2018-08-14T15:45:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T15:45:00+02:00,2a32d13c-c664-4d56-bd5e-7d8d4aaed533,2018-08-14T15:45:15+02:00,30.3,0.0121,IAA House 4,IAA House 3
2018-08-14T15:45:00+02:00,5a6a5dea-caca-4915-8465-dfbabf6a4deb,2018-08-14T15:45:15+02:00,30.3,0.0015999999999999973,IAA House 4,IAA House 2
2018-08-14T15:45:00+02:00,96b090dc-55b2-4880-959f-cfa1c90295e9,2018-08-14T15:46:15+02:00,27.27,0.010500000000000002,IAA House 4,IAA House 2
2018-08-14T16:00:00+02:00,15fee958-eceb-4eaf-a0c5-d167e7289702,2018-08-14T16:00:00+02:00,30.3,0.0108,IAA House 3,Cell Tower
2018-08-14T16:00:00+02:00,450d22fc-4aee-49a1-be5f-93aaacc24bea,2018-08-14T16:00:15+02:00,30.3,0.0108,IAA House 5,Cell Tower
2018-08-14T16:00:00+02:00,671a8301-032c-4c2e-9042-9ceff28f5751,2018-08-14T16:00:30+02:00,27.27,0.0033999999999999985,IAA House 4,Cell Tower
2018-08-14T16:15:00+02:00,4255dc26-6302-4f89-b55f-539cea956d8f,2018-08-14T16:15:00+02:00,30.3,0.009,IAA House 3,Cell Tower
2018-08-14T16:15:00+02:00,d8d53afc-dee9-4702-b48d-3a1a4dbe684a,2018-08-14T16:15:15+02:00,30.3,0.009,IAA House 5,Cell Tower
2018-08-14T16:15:00+02:00,072de992-ef75-4b10-bb27-b1e35e4d933b,2018-08-14T16:15:30+02:00,27.27,0.007,IAA House 4,Cell Tower
2018-08-14T16:30:00+02:00,57e01790-f353-4968-897f-d989a53c9306,2018-08-14T16:30:00+02:00,30.3,0.0222,IAA House 4,Cell Tower
2018-08-14T16:30:00+02:00,fc6695d5-5ef5-49f3-bb60-e5e89b8d05b3,2018-08-14T16:30:15+02:00,30.3,0.002800000000000001,IAA House 5,Cell Tower
2018-08-14T16:30:00+02:00,3ee98966-4949-44ce-93cb-931f5655f943,2018-08-14T16:39:15+02:00,23.028,0.0074,IAA House 3,IAA House 4
2018-08-14T16:45:00+02:00,5e592b55-21ef-4b1d-9dda-8f5054803103,2018-08-14T16:45:30+02:00,27.27,0.025,IAA House 5,Cell Tower
